,Hotel,Review,Score
1615,Commodore Hotel, It is close to Paddington Station and other attractions,0.4215
1616,Commodore Hotel, it was a good standard of hotel near to Hyde Park,0.4404
1617,Commodore Hotel, Location,0
1618,Commodore Hotel, Location,0
1619,Commodore Hotel, Quiet convenient position ,0
1620,Commodore Hotel, There was a small problem with the booking but it was resolved quickly and professionally,0.0516
1621,Commodore Hotel, Friendly and helpful staff,0.7184
1622,Commodore Hotel, Location Quiet room,0
1624,Commodore Hotel, We were given a lovely room room 11 Staff were friendly ,0.7906
1626,Commodore Hotel, Location ,0
1627,Commodore Hotel, Within walking distance of underground etc ,0
1628,Commodore Hotel, GOOD NIGHTS SLEEP VERY QUIET FOR A CITY LOCATION,0.4404
1629,Commodore Hotel, Location was fantastic staff were so helpful and pleasant anytime we needed anything Couldn t have asked for more from the hotel,0.8952
1630,Commodore Hotel, Location,0
1631,Commodore Hotel, Nice staff good location and really nice building,0.8313
1632,Commodore Hotel, provide the adaptor,0
1633,Commodore Hotel, The location and the personnel ,0
1634,Commodore Hotel, Location,0
1635,Commodore Hotel, Staff and room,0
1636,Commodore Hotel, The staff were very friendly and helpful ,0.762
1637,Commodore Hotel, Location staff was very helpful,0.4754
1638,Commodore Hotel, Convenience,0
1639,Commodore Hotel, Location big open space across the road 3tube stations near by bus outside the hotel and a very safe place to walk about at night,0.4927
1640,Commodore Hotel, Staff were friendly very helpful Great location ,0.8927
1641,Commodore Hotel, Excellent location 5 minute walk from underground that is easy to access main London areas ,0.765
1642,Commodore Hotel, Location is fantastic,0.5574
1643,Commodore Hotel, Perfect location and very friendly helpful staff ,0.8826
1644,Commodore Hotel, Excelent hotel with a good price,0.4404
1645,Commodore Hotel, location,0
1646,Commodore Hotel, Staff location,0
1647,Commodore Hotel, Staff were friendly,0.4939
1648,Commodore Hotel, Good location nice reception good gym ,0.8225
1649,Commodore Hotel, Very nice staff Quiet location Close to 3 subway stations On direct bus routes to Piccadilly Victoria Station and Saint Pancras Station ,0.4754
1650,Commodore Hotel, Quiet and good rooms,0.4404
1651,Commodore Hotel, Location Staff Room everything about this hotel was just lovely,0.5859
1652,Commodore Hotel, Great location big and comfortable rooms decent continental breakfast everything was awesome ,0.91
1653,Commodore Hotel, Needed to ask for a kettle and iron which appeared with a smile in minutes,0.3612
1654,Commodore Hotel, Great location old fashioned room was quaint and spacious ,0.6249
1655,Commodore Hotel, Comfortable bed and helpful staff,0.7269
1656,Commodore Hotel, Fantastic suite with four poster bed and balcony ,0.5574
1657,Commodore Hotel, Nice Victoria building,0.4215
1658,Commodore Hotel, The location was very good as was the shower The room was reasonably sized and furnished ,0.4927
1659,Commodore Hotel, Lobby was nice so was the area and we got upgraded for free ,0.7351
1660,Commodore Hotel, Location Room impressive Breakfast excellent ,0.7906
1661,Commodore Hotel, Easy location for shopping etc,0.4404
1662,Commodore Hotel, Location,0
1663,Commodore Hotel, Pleasant helpful staff,0.7269
1664,Commodore Hotel, Nice location close to city center,0.4215
1665,Commodore Hotel, Bed was so comfy ,0
1666,Commodore Hotel, Location was excellent and the hotel was very quiet I was very pleased with my stay ,0.7841
1667,Commodore Hotel, Friendly staff and good location,0.7269
1668,Commodore Hotel, it suited us well to take 3 children nice apartment,0.5994
1669,Commodore Hotel, Cheap hotel somewhere to get your head down buts that s all ,0
1670,Commodore Hotel, Great location in quite area ,0.6249
1671,Commodore Hotel, Location,0
1672,Commodore Hotel, Comfortable bed Friendly staff ,0.7579
1674,Commodore Hotel, Look of the hotel,0
1675,Commodore Hotel, Value for money,0.34
1676,Commodore Hotel, Friendly helpful staff Good location ,0.836
1677,Commodore Hotel, Like location,0.3612
1678,Commodore Hotel, Location was very good with close links to tube station,0.4927
1679,Commodore Hotel, Location,0
1680,Commodore Hotel, Friendly staff and good location close to Hyde Park,0.7269
1681,Commodore Hotel, Good location friendly staff,0.7269
1682,Commodore Hotel, Friendliness of staff ,0.4588
1683,Commodore Hotel, Location,0
1685,Commodore Hotel, Within walking distance of Hyde park which suited our needs perfectly for winter wonderland,0.6369
1686,Commodore Hotel, Awesome room fabulous location near Hyde Park and friendly staff Fabulous ,0.9337
1687,Commodore Hotel, Checked in late without any problem,0.3089
1688,Commodore Hotel, central location and close to bus stop and metro station,0
1689,Commodore Hotel, good location good price,0.7003
1691,Commodore Hotel, Location,0
1692,Commodore Hotel, Staff were polite,0
1693,Commodore Hotel, Helpful staff good location easy to use,0.8225
1694,Commodore Hotel, Excellent lotion could walk to oxford street in 20 mins ,0.5719
1695,Commodore Hotel, The nice balcony room 301 ,0.4215
1696,Commodore Hotel, Ok location close to Paddington and a short walk from Lancaster Gate tube,0.296
1697,Commodore Hotel, The location the staff ,0
1699,Commodore Hotel, Location,0
1700,Commodore Hotel, Reception Stuff thanks FOR everything,0.4404
1701,Commodore Hotel, Nothing,0
1703,Commodore Hotel, Superb breakfast Very good rooms Very Quit Very helpful straff ,0.8922
1704,Commodore Hotel, Staff were polite friendly and very helpful single room was good quiet area so no noise ,0.7451
1705,Commodore Hotel, Reception People and Cleaning team,0
1706,Commodore Hotel, Location next to Hyde Park,0
1708,Commodore Hotel, Staff very friendly ,0.5413
1709,Commodore Hotel, Receptions services,0
1710,Commodore Hotel, lovely staff couldn t have been more helpful room was clean with a good sized bathroom ,0.9099
1711,Commodore Hotel, Nothing to write home about,0
1712,Commodore Hotel, It s just a room to sleep I m not sure about the 4 stars thing But great location close to tube station and just few minutes walk to restaurants coffee shops bars and Shopping mall ,0.7326
1713,Commodore Hotel, The staff were bery nice and friendly and very dedicated staff professional too all of the staff recipitionist froom portman to the manager,0.8516
1714,Commodore Hotel, Excellent location for sight seeing in London,0.5719
1715,Commodore Hotel, Convenient location for my stay,0
1716,Commodore Hotel, The location ,0
1717,Commodore Hotel, Air conditioning in room,0
1719,Commodore Hotel, The room was mostly clean and we were able to store our luggage before check in ,0.4019
1720,Commodore Hotel, Location excellent breakfast was good and plenty of choice ,0.765
1721,Commodore Hotel, Stayed here due to being evacuated from the Taplow building in Camden The hotel is a good price and great location The area is also nice and quite which is great for being in the middle of the city Hyde park is just one block over for lovely walks and you are close to Paddington station ,0.9438
1722,Commodore Hotel, Nice location easy to get too with use of public transportation Nice quiet area Price was decent ,0.8176
1723,Commodore Hotel, Good iron,0.4404
1725,Commodore Hotel, Location and apartment had washing machine,0
1727,Commodore Hotel, The staff was friendly,0.4939
1728,Commodore Hotel, NOTHING ,0
1729,Commodore Hotel, Nothing Unhelpful and rude staff The room was a disgrace It was filthy threadbare carpets cracked sink mold on the ceilings gaffa tape along the bottom of the shower screen bottom bit of the bathroom door missing Aircon very noisy and didn t cool the room just pumped out dust Squatting would have been more comfortable Do not stay here ,0.2453
1730,Commodore Hotel, We arrived in LHR at 6 am and get tot he hotel by 9am We couldnt check in but they allowed us to put our luggage at reception till 2 30pm Our room was quiet and good for sleeping ,0.5927
1731,Commodore Hotel, The location is very good for Hyde park Oxford street and public transport The breakfast was good nice selecion The bed was comfortable ,0.9041
1732,Commodore Hotel, Rooms were small but has everything you need plus air con was an added much needed comfort,0.5023
1733,Commodore Hotel, The location was close to Hyde park so ideal for the event that we attended ,0.656
1734,Commodore Hotel, Reception and Lobby well decorated and a nice environment,0.6124
1735,Commodore Hotel, Entrance and exit,0
1737,Commodore Hotel, The location was perfect for Hyde Park Just a two minute walk ,0.5719
1738,Commodore Hotel, Close to Hyde park walking distance of everything we wanted to do ,0
1739,Commodore Hotel, This hotel is comprised of a variety of townhomes with an assortment of hotel rooms and apartments The rooms are period with old style dark wood brocade fabric Victorian furniture but have modern bathrooms TVs wif etc The apartments are huge and appointed to a modern finish The hotel is on a quiet cul de sac and is set back from the main road Bayswater It is very quiet and right next to Hyde Park Lancaster Gate tube station is currently closed but Bayswater is a short walk and Paddington is just 10 minutes I really like this place ,0.7677
1742,Commodore Hotel, The bed was comfortable and room very clean,0.7425
1743,Commodore Hotel, Room was not available so upgraded to appartment that was lovely for the first day,0.5859
1745,Commodore Hotel, I was upgraded to a double room That room had a nice balcony so I could even sit outside Bathroom was spacious for this type of hotel in London ,0.4215
1746,Commodore Hotel, It s location ,0
1747,Commodore Hotel, The front of the building The shower in our room,0
1748,Commodore Hotel, The location was great,0.6249
1749,Commodore Hotel, There is a tube station close to the hotel ,0
1750,Commodore Hotel, Only a couple minutes walk to several busses and trains Walking distance to restaurants grocery stores and a pharmacy ,0
1752,Commodore Hotel, The room on the 7th floor even though I had to lug my luggage up one floor Wish the aircon works though ,0.4019
1753,Commodore Hotel, The suite was beautiful I loved the old Victorian style ,0.8316
1755,Commodore Hotel, no staff on site liked the location was very well equipped and would definately stay again,0.4576
1756,Commodore Hotel, Last minute booking Room was adequate Good location across from Hyde park Quiet neighborhood Friendly staff ,0.7906
1757,Commodore Hotel, The staff were very helpful and breakfast was very good Location was close enough to transportation restaurants and Hyde Park and a shirt walk to Kensington Palace We stayed here at the start of our UK vacation then returned at the end Our room for the second part of our stay in London was newer with more room than the one during the first part of our stay The rooms were very clean and the lighting was satisfactory ,0.8952
1758,Commodore Hotel, The entrance hall and the location The friendliness and helpfulness of the staff particularly when there was a problem ,0.4939
1760,Commodore Hotel, Quiet neighborhood and very safe too Less than2 minute walk to the Kensington gardens and the tube I love the Kensington garden Hyde park We walked thru the park to go to Kensington About 10 15 minute walk to Paddington station which has the express train to Heathrow Queensway is nearby also it has a variety of restaurants ie Persian Chinese Indian etc We went to Little Persia restaurant and the atmosphere and food were great London is great place for history buffs Victoria and Albert museum was free We didn t get the chance to go to other neighboring museums due to time ,0.9678
1763,Commodore Hotel, Friendly staff,0.4939
1764,Commodore Hotel, The location was perfect a nice quiet neighborhood 1 block from Hyde Park the Italian Garden The hotel was very clean the staff was kind ,0.8748
1765,Commodore Hotel, The terrace was the highlight We enjoyed breakfast on the terrace It was private and the weather was perfect Marsella was a delight And very helpful ,0.9468
1766,Commodore Hotel, Personnel,0
1767,Commodore Hotel, We had done a last moment checkin as our flight got cancelled The rooms are spacious perfect to stay with children Evertthing is close by so a perfect location and at very decent price The staff is good and helpful ,0.9077
1768,Commodore Hotel, Location ,0
1771,Commodore Hotel, Location was superb in all respects,0.7506
1773,Commodore Hotel, Although the hotel is situated in quite the center of London it is very quet area Not far from both undergrounds and bus stop Service minded and helpful staff The room and its facilities function well but they are kind of old Generally we had a lovely stay and surely will stay here again ,0.91
1774,Commodore Hotel, Old and Quirky Hotel in a great location 2 min walk to Hyde Park,0.6249
1775,Commodore Hotel, Staff was excellent Very helpful and friendly ,0.8822
1776,Commodore Hotel, Hotel is in an excellent and charming area of London very close to Tube and bus stations One thing to note is the closest Tube station Lancaster Gate is closed until July Not a problem though as the buses run straight to the other stations otherwise it is a very short walk Hotel staff were very accommodating with our requests Directly across the street from a historic church and a two minute walk to Hyde Park 15 minutes to Albert Memorial or Kensington Palace ,0.8924
1777,Commodore Hotel, The lobby ,0.0258
1778,Commodore Hotel, Nothing,0
1779,Commodore Hotel, Nothing,0
1780,Commodore Hotel, Location is perfect for those who want a central base from which to explore London The outside is beautiful but the rooms are pretty old and dated It s not expensive though ,0.85
1781,Commodore Hotel, Staff excellent very helpful and accommodating Location for where we wanted to go perfect facilities and cleanliness first class would definitely return ,0.9216
1782,Commodore Hotel, Good location Right across the road from Hyde Park and walking distance to transport Walking distance to a few restaurants and pubs Good wifi and coffee making facilities in the room Clean and tidy ,0.8176
1783,Commodore Hotel, Excellent location ,0.5719
1784,Commodore Hotel, It s a very well appointed hotel with style I was upgraded to a suite which was sensational Best room I ve stayed in London for a long time ,0.7645
1785,Commodore Hotel, Location is Excellent and the area very nice and safe Would go back again,0.8737
1786,Commodore Hotel, On our arrival we were rather impressed by the entrance but once inside our first thought was that the hotel could really do with some TLC Checking in was a little difficult due to a little language barrier but we were very pleased as we had requested a room with some outside space and we got exactly that yes it was only a little terrace and you had to go through a large window to get there but we had asked for outside space and we got it Our room was rather grand in fact it was huge and on two levels but it was very dated rather dusty and the mattress was so lumpy ,0.9287
1788,Commodore Hotel, Good location,0.4404
1790,Commodore Hotel, Five minutes walk to Oxford Street Good location for shopping ,0.4404
1791,Commodore Hotel, The neighborhood was quiet upscale The rooms are somewhat spacious elegantly decorated It s conveniently located near Queensway train station Hyde park is just a stone s throw away ,0.3862
1792,Commodore Hotel, A quiet and peaceful hotel tucked away from the madness of London Easy to access by bus The bed was big and very comfortable Yes it could do with an update but all of the facilities were there and very serviceable What would this country do without the EU people who come to work here and provide us with such excellent customer service The receptionists were a credit to the hotel ,0.9305
1793,Commodore Hotel, Hotel is in a great location the bus service was great too,0.8481
1794,Commodore Hotel, Nothing,0
1795,Commodore Hotel, The location is safe and near one of Hyde Park s entrances There are a few bus stops within a minute s walk The subway station is close but it was closed during my entire stay and will be until July 2017 ,0.1655
1796,Commodore Hotel, Location is great for public transport train bus or underground Plenty offer or great restaurants around Good breakfast at the hotel,0.9022
1797,Commodore Hotel, The location ,0
1798,Commodore Hotel, Our suite looked very lovely BUT,0.3708
1799,Commodore Hotel, The location,0
1800,Commodore Hotel, The cleaning service was good towels and toiletries were all provided,0.4404
1801,Commodore Hotel, Gym room Nice showers,0.4215
1802,Commodore Hotel, Front of building that s it,0
1803,Commodore Hotel, The bathroom was very spacious excellent when you have little kids The bed was very comfy too the best I ve been on,0.8473
1804,Commodore Hotel, Excellent location my room was upgraded to a nice one friendly and helpful staff good breakfast,0.9371
1805,Commodore Hotel, The location was ideal as London was on the doorstop A bit quirky Victorian themed room okay if you like that sort of thing ,0.7783
1806,Commodore Hotel, Stayed here before booked a great value suite with four poster bed and balconies two balconies Very comfy very large bed Relatively quiet location but close to buses and Underground Well placed for the Albetr Hall less than 15 minutes walk away across the park ,0.7096
1807,Commodore Hotel, The hotel location is just a couple of minutes walk from Hyde Park and several bars and restaurants The hotel room we stayed in was bigger than I d anticipated Townhouse and the decor was beautiful It was also very quiet inside and outside of the hotel which was great and unexpected due to the centrality of London The staff were really friendly polite and helpful The 11am checkout time was also very useful great for a lie in Such a lovely hotel to stay in ,0.9791
1808,Commodore Hotel, Location was not bad Young girl who might have been Polish seemed to be nice friendly and helpful although the food was not good ,0.8498
1809,Commodore Hotel, The lobby very space with comfortable fire place and paintings with other decorations ,0.3102
1811,Commodore Hotel, the room was quiet without that horrible air con that is so loud you are on a jumbo jet this is the first hotel in a long time that I actually managed to sleep all night ,0.431
1812,Commodore Hotel, I really liked the king size comfortable bed and the spacious shower,0.7501
1813,Commodore Hotel, Excellent location to Hyde Park and into the city The rooms were very clean large and had everything you needed The staff were very friendly and helpful ,0.9224
1814,Commodore Hotel, beautiful building and entrance foyer,0.5994
1815,Commodore Hotel, The staff were friendly and helpful The bathroom in bedroom was newly refurbished ,0.7184
1816,Commodore Hotel, The room was clean and comfortable,0.7184
1817,Commodore Hotel, A pleasant and comfortable stay at a quiet hotel ,0.765
1819,Commodore Hotel, The linen and towels were super clean ,0.765
1820,Commodore Hotel, This hotel was a welcome relief from a nightmare one night stay at a local Airbnb We ended up canceling our Airbnb in the middle of the night and booked here on a complete whim and thank goodness we did The location is perfect close to everything you would want to see in London close to all forms of public transportation and yet far enough away from noise and city bustle We were upgraded upon arrival and our room was wonderful very comfy bed and a terrace The staff were very sweet and though we didn t try any of the food there I m sure it s just as great ,0.9817
1821,Commodore Hotel, Hotel was very nice clean and well appointed in a great location I would stay there again ,0.9056
1822,Commodore Hotel, Great location we were a few minutes walk from Hyde Park and Kensington Palace which was the very reason for our stay and overall found it a very good hotel for anything more than we got I would have expected to pay more too so no complaints from me as I found it great value Extra kudos to the lady who checked us in who I thought was absolutely lovely and welcoming Very pleasant and would not hesitate to stay there again Fantastic location if you re going to Kensington Palace like we were at good value too for the area ,0.9918
1823,Commodore Hotel, friendly staff comfortable bed top notch location right behind Kensington Garden,0.8074
1824,Commodore Hotel, The bed was comfy,0
1825,Commodore Hotel, Room was large and clean Location was brilliant Beautiful building,0.886
1827,Commodore Hotel, WIFI was without limits and internet was ok not great not bad Continental breakfast was just fine Friendly reception good service I needed an iron board and it was delivered to my room within minutes ,0.5326
1828,Commodore Hotel, The room was airy and the bed very comfortable and the staff were very helpful It was a great location away from the main road but with good access to the tube ,0.8671
1829,Commodore Hotel, The room was lovely ,0.5859
1830,Commodore Hotel, Location ,0
1831,Commodore Hotel, The location is excellent and good price for that area The hotel has a good ambience ,0.8591
1832,Commodore Hotel, 1 Location is superb 2 Neighbourhood is posh 3 Heater is kept warm 24 hour 4 Water heater works ,0.7184
1833,Commodore Hotel, The Hotel was warm and confortable with polite and correct staff Bathrooms were clean and the bed was big and confortable The rooms were old but clean ,0.705
1834,Commodore Hotel, The location is the best thing about this hotel The walk in shower was great and rooms are larger than average for a London hotel ,0.8519
1835,Commodore Hotel, Location very good Just a couple minutes away from centre Rooms were tidy and comfortable I will return to this hotel ,0.7574
1836,Commodore Hotel, Location,0
1837,Commodore Hotel, The lady on reception was friendly,0.4939
1838,Commodore Hotel, The room was quite big The bed really nice to sleep Staff working at the hotel helpful ,0.7089
1839,Commodore Hotel, Very polite staff The room was warm and comfortable Appealing reception and lounge area Quiet pleasant area just 10 mins walk from Queensway underground ,0.8176
1840,Commodore Hotel, The receptionists are friendly and willing to help The lobby area is very charming with the open fire place ,0.8268
1841,Commodore Hotel, Location was good comfy lounge adjacent to the entry staff friendly and mostly helpful ,0.836
1842,Commodore Hotel, The location of the hotel was good and within easy access of the Tube station,0.7003
1844,Commodore Hotel, beds were comfy,0
1845,Commodore Hotel, Very impressed as our stay was a treat for my girlfrends birthday I asked in special requests if the hotel can put a birthday banner in the room They said yes and apon arrival told us we had a free room upgrade and left a signed birthday card in there too Overall The hotel was lovely and the staff were fantastic very friendly ,0.9769
1846,Commodore Hotel, The bed in my first room was comfy but it looked out into a courtyard and the window to the outside couldn t be locked Breakfast was good ,0.5927
1847,Commodore Hotel, The decor is gorgeous The staff were really helpful and nice The location is perfect ,0.9307
1848,Commodore Hotel, I ve been to this hotel a few times now and happy with location and facilities at this hotel ,0.5719
1850,Commodore Hotel, NOTHING,0
1852,Commodore Hotel, Location was ok but keep in mind that the closest underground station Lancaster is temporary closed ,0.1531
1853,Commodore Hotel, The location is excellent right at the Hyde Park and within walking distance to Paddington station Lancaster Gate Bus stop is also nearby Staff was very nice and polite and helpful We even got an better room than we have booked We loved the look of the Lobby area Very nice to come in after a long and cold day in the city and sitting in front of the fire ,0.953
1854,Commodore Hotel, Reception was a nice beginning Nice big bed free wifi ,0.836
1855,Commodore Hotel, Spacious apartment Well equipped ,0.2732
1856,Commodore Hotel, The location was good for us visting Winter Wonderland and the breakfast was nice ,0.6908
1857,Commodore Hotel, Location close to the underground ,0
1859,Commodore Hotel, The hotel is very nice and comfortable The bed was big and lovely ,0.8874
1860,Commodore Hotel, The hotel was lovely warm and welcoming the decor was beautiful The room was immaculately clean spotless intact Always personnel to ask questions Five minute walk yo the bus stop ten to the tube breakfast was OK ample food on a fry up and hot The shower in the room was great the bed squeeked but it was an old one and so very comfy ,0.9004
1861,Commodore Hotel, We stayed in the 1 bedroom apartment Comfy bed lovely shower pleased there was an en suite Location was great ,0.8957
1862,Commodore Hotel, Liked the comfort of the room and the central location just north of Hyde Park Also liked the location within 300 meters of an underground tube station The London underground provides unsurpassed ease of transportation ,0.8625
1863,Commodore Hotel, Big two bedroom room with very nice clean bathrooms and kitchen Good location ,0.839
1865,Commodore Hotel, Informal,0
1866,Commodore Hotel, Friendly staff especially at breakfast and the best continental breakfast I ve ever had,0.8126
1867,Commodore Hotel, Location was great ,0.6249
1868,Commodore Hotel, Nothing much,0
1869,Commodore Hotel, Location to Hyde Park and the tube ,0
1870,Commodore Hotel, The only positives were the free wifi and the location,0.7717
1872,Commodore Hotel, Great location,0.6249
1873,Commodore Hotel, Breakfast was good and there were different things to choose The position is very good and situated centrally ,0.7264
1874,Commodore Hotel, the room was large and the bed was comfortable The room was overall ok ,0.6705
1876,Commodore Hotel, Location is excellent ,0.5719
1877,Commodore Hotel, The location I like lancastee gate quiet safe yet central ,0.6597
1878,Commodore Hotel, Staff very helpful and friendly ,0.762
1879,Commodore Hotel, The apartment was brilliant great location huge and very comfortable ,0.9299
1880,Commodore Hotel, Only location,0
1881,Commodore Hotel, Hotel had a lot of character not too far from the tube on the central line Lancaster Gate tube ,0
1882,Commodore Hotel, Nothing ,0
1883,Commodore Hotel, Lovely location,0.5859
1885,Commodore Hotel, Room was nice except,0.4215
1886,Commodore Hotel, Great location ,0.6249
1887,Commodore Hotel, The head receptionist was lovely and couldn t have been more helpful Her staff on the other hand could at least have raised a smile during check in ,0.9117
1888,Commodore Hotel, Pleasant staff comfortable bed powerful hot water good sized room ,0.9062
1889,Commodore Hotel, The location suited our needs,0
1890,Commodore Hotel, Nothing,0
1891,Commodore Hotel, Great location clean,0.7783
1892,Commodore Hotel, All the consumables towels bedsheets etc were very clean Full tea and coffee making facilities which were well stocked and a very reasonably priced mini bar in the room,0.624
1894,Commodore Hotel, Excellent location and hotel looked great from the outside ,0.8316
1895,Commodore Hotel, Not a single thing ,0
1896,Commodore Hotel, The staff I dealt with where polite helpful The location was handy ,0.4215
1897,Commodore Hotel, It was at a perfect location and very close to the underground tube station It s location was brilliant The neighbourhood was very classy and safe For being in the middle of the city it had such a quiet location which was perfect ,0.9556
1898,Commodore Hotel, Good location friendly and helpful staff Safety deposit box Good value all round ,0.9432
1899,Commodore Hotel, The location right on the edge of Kensington Gardens Hyde Park was fantastic,0.5574
1900,Commodore Hotel, I always choose to stay here when I m in London as it s a great location and prices very reasonable Very comfortable and feels English in a good way ,0.8969
1901,Commodore Hotel, Not very much,0
1902,Commodore Hotel, The location,0
1903,Commodore Hotel, Staff were excellent We had booked an apartment and unfortunately it was not available however staff delta with this excellently and gave us 2 suites and included breakfast each day Location was excellent Nothing we asked wad an issue for staff ,0.8973
1904,Commodore Hotel, Nothing,0
1905,Commodore Hotel, The power shower,0
1906,Commodore Hotel, The location is quite convenient Just a short walk away from Lancaster Gate station that will take you anywhere in central London Also there are buses and nearby restaurants Staff were also quite accommodating and friendly ,0.5367
1907,Commodore Hotel, Nothing ,0
1908,Commodore Hotel, Entry lobby was beautiful,0.6124
1909,Commodore Hotel, very comfortable bed excellent location for Hyde Park friendly staff,0.8947
1910,Commodore Hotel, Friendly staff Location Visiting proms in the park Price very reasonable Good breakfast,0.749
1913,Commodore Hotel, Location,0
1915,Commodore Hotel, Great location enjoyed being able to walk everywhere The room was comfortable and clean ,0.9246
1916,Commodore Hotel, Excellent location considering that hotel is on Central Line and red line now is a night tube Easy to walk from Paddington Ideal place to sleep after exhausting walks in London,0.8176
1917,Commodore Hotel, The bathroom was very nice and the kitchen living room was nice,0.7089
1918,Commodore Hotel, The location was good was in a great area,0.7906
1919,Commodore Hotel, Room was quite spacious,0
1920,Commodore Hotel, I liked the fact my father used to own the restaurant downstairs from the hotel,0.4215
1921,Commodore Hotel, Very good location next to Hyde Park Friendly staff,0.7501
1922,Commodore Hotel, Everything was really good about this apartment It was the first time I stayed in such a nice place in this area with this price ,0.7178
1923,Commodore Hotel, Location was right for our needs ,0
1924,Commodore Hotel, The staff were excellent I was given a double room when I had booked a single,0.5719
1925,Commodore Hotel, The staff were great and very friendly,0.8221
1926,Commodore Hotel, Great location Right next to Hyde Park 5 minute walk to Lancaster Gate tube station not far of a walk to Marble Arch and Oxford Street Area seemed safe and quite Staff seemed very friendly ,0.8883
1927,Commodore Hotel, OK location,0.4466
1928,Commodore Hotel, Its location although a bit of distance from the main attractions,0.4215
1929,Commodore Hotel, Location was great staff at breakfast very friendly and comfy bed,0.8221
1930,Commodore Hotel, Clean and good location ,0.6808
1931,Commodore Hotel, Location was convenient and room was big bathroom was really good ,0.4927
1934,Commodore Hotel, Great location good value,0.8555
1935,Commodore Hotel, Superb location close to Hyde park and a 2 3 minutes walk to the Lanchester gate underground station A nice pub and a convenient kiosk nearby Good breakfast but we had to pay extra for English breakfast Nice and clean rom with a desk for computer work Positive that the internet access lasted for full week no problem with internet access for extra devices 2 laptops 2 mobile phones Friendly and service minded staff breakfast ,0.9754
1936,Commodore Hotel, Staff position breakfast all great,0.6249
1937,Commodore Hotel, Immediate smiley welcome from polite and knowledgeable staff laughs before we even received key Easy to find perfect location amazingly comfortable beds quiet room Very good ,0.9694
1938,Commodore Hotel, Best bit Fast free wifi Great Brilliant location lovely view over Leinster Mews from the window Staff were efficient Bed was comfortable Room was clean And there was a bath which was a bonus got to love a bath ,0.9888
1939,Commodore Hotel, Staff were very good,0.4927
1941,Commodore Hotel, 1 Staff were easy to deal with and helpful which I found a bit surprising because of the other customer reviews I saw here Probably the hotel had issues in the past and fixed them 2 I m generally satisfied with what I got compared to what I paid I was a solo traveler in a double room and I got a decent genius discount ,0.8625
1942,Commodore Hotel, The staff tried to do their best and the rooms were clean ,0.7845
1943,Commodore Hotel, Fantastic location as it s only a couple of miles away from the theatres Very comfortable beds and we were surprised to find it had air conditioning as well Would definitely stay here again ,0.9168
1944,Commodore Hotel, Nothing,0
1945,Commodore Hotel, The staff were extremely helpful friendly and could not do enough for you very accommodating The full English breakfast was also good ,0.8581
1946,Commodore Hotel, Wifi and location,0
1947,Commodore Hotel, Location handy for Hyde Park ,0
1948,Commodore Hotel, Clean bed sheets,0.4019
1949,Commodore Hotel, Location was good,0.4404
1950,Commodore Hotel, The staff were all excellent Diana excelling in the restaurant and a young chap whose name I didn t catch but who worked in the Reception area very helpful and cheerful ,0.9311
1951,Commodore Hotel, Lobby was very nice Location was good ,0.7264
1952,Commodore Hotel, The location and staff were excellent and the hotel was luxurious The room was big for london standards I found that it was great value for money ,0.8807
1953,Commodore Hotel, The free upgrade was appreciated and the staff were helpful and ensured we got to where we needed to be ,0.8555
1954,Commodore Hotel, Such friendly staff upgraded to a suite which was amazing Beautiful antiques and pictures in the room Massive 4 poster bed Will definitely be back,0.9274
1955,Commodore Hotel, Location is ideal Clean place and stylish room ,0.7269
1956,Commodore Hotel, Fantstic quirky room with four poster bed ,0
1957,Commodore Hotel, The staff especially Vin were extremely helpful We also loved the room given to us ,0.7902
1958,Commodore Hotel, The location,0
1959,Commodore Hotel, All the facilities in the room and communal areas were clean and easy to use ,0.6808
1960,Commodore Hotel, The staff especially the hotel manager was very friendly polite and helpful We liked the location which was a short walk from Lancaster Gate Underground station and across from Hyde park ,0.8439
1962,Commodore Hotel, Our room d cor was beautiful and the location was fantastic It s only a short walk to the subway Paddington station Hyde Park and a couple of good traditional pubs and local shops Would definitely recommend this hotel and we would stay there again ,0.9393
1963,Commodore Hotel, Nothing,0
1964,Commodore Hotel, Bed was comfortable and it was well located to the tube network and on the doorstep of Hyde Park very quiet area and a stone throw away from the busy high street of Baywaters,0.6597
1965,Commodore Hotel, I did like the location and the boys and girls in the reception They are really kind ,0.7346
1966,Commodore Hotel, Extremely friendly and helpful staff went out of their way to accommodate a couple of requests during our stay Great hotel great location for city exploring only 5 mins from tube station on the central line ,0.9409
1967,Commodore Hotel, Polite staff comfy bed ,0
1968,Commodore Hotel, quiete neighborhood close to Hide park breakfast was good quality,0.296
1969,Commodore Hotel, The location was great and the staff is friendly and helpful ,0.8779
1970,Commodore Hotel, The location was great ,0.6249
1971,Commodore Hotel, The staff were very friendly and we were very privileged to receive an upgrade on our room which was unexpected but fantastic Also due to a late departure time the hotel was very accommodating in allowing us to leave our luggage at the hotel until 6pm the following day The hotel is perfectly situated by Hyde Park and was easily accessible to most areas of central London I will definitely be making a return journey ,0.9698
1972,Commodore Hotel, The staff at the Reception especially the Greek lady were very friendly and willing to provide excellent services They provided the best solution to the problem described in the negative section ,0.807
1974,Commodore Hotel, The location is brilliant very central and the hotel looks beautiful My room was only small but comfortable with a surprisingly big enquite bathroom Felt safe was only there one night but would have happily stayed longer,0.9676
