,Hotel,Review,Score
1364,Best Western Maitrise Hotel Edgware Road, Room was very small and cramped my room 402 was in the basement so no windows it was very hot and there was a loud noise coming from ventilation which could not be switched off ,-0.4341
1366,Best Western Maitrise Hotel Edgware Road, Bed was not comfortable room was extremely noisy I could not sleep at all cleanliness could be improved some pillow cases were dirty overall old and rugged feel Wi fi not working due to busy network 50GBP deposit upon check in ,-0.5416
1367,Best Western Maitrise Hotel Edgware Road, Very poor external signage meant we walked straight past We were looking for a Best Western sign and there wasn t one It was only by chance when walking back on the other side of the road that we could see the name Also the description did not make it clear that there is no separate hotel entrance but is within a cafe Very odd ,-0.4986
1368,Best Western Maitrise Hotel Edgware Road, Reservation confirmed but the hotel said they were fully booked when the guest arrived Now another struggle with the unhelpful booking com s customer service ,-0.4497
1370,Best Western Maitrise Hotel Edgware Road, We arrived at the hotel at about 1pm The receptionist told us that the check was starting at 2pm The room was ready but because we were 1 hour in advance she asked to pay extra 20 pounds That was the hotel policy We didn t accept so we came back after dinner The hotel room was small dirty and especially very cold We were there in December so the heating was supposed to work Unfortunately it was not working At this point we asked the receptionist who was very kind and helpful to check and see what was the problem We checked other 3 rooms but all with the same problem it was too cold to stay and we had to live our jackets on all the time At around 10 30pm after 1h 30 minutes we were trying to solve the problem the night porter came and suggested us to stay there 1 night and the next day they would have repaired the heating system In the meantime other people came down to the reception to complain about the same problem At the end after 2 hours we asked to change the other to another with the heating working At that point they gave us anther hotel of the same chain the Best Western Maida Vale End of the story this is not a hotel it s a dirty place with no heating small and located in a bad place If you don t want to waist your money don t go there Unfortunately I booked the hotel without looking at the reviews otherwise I certainly wouldn t have booked it ,-0.9282
1371,Best Western Maitrise Hotel Edgware Road, The first room I was given was on the first floor over traffic lights and I could hear the constant beeping of them even with the window closed I was moved to another room on the ground floor with no window I had to make do with this room as there was nothing else available It was very claustrophobic as the room was tiny ,-0.296
1372,Best Western Maitrise Hotel Edgware Road, Staff Issue at check in I was told I hadn t paid even though I showed an email confirming I had paid Receptionist stated it did not matter what my email said and that I had to pay in full or else she would not check us in was further told issue was with booking com and I should take it up with them which I did Issue was resolved however as their reception is on the counter of a cafe it was quite embarrassing as receptionist kept saying there was insufficient funds in my acc was not a happy camper Also was the poorest continental breakfast I have EVER come across ,-0.8468
1374,Best Western Maitrise Hotel Edgware Road, This hotel is located in a very unpleasant area as a young couple we felt really unsafe in this area due to the amount of people fighting on the streets and police vans just outside the hotel Staff representatives smoking outside the front door After travelling from Newcastle checking in our bags then being told to come back and check in my partner and I received a phone call telling us our room had been cancelled due to overbooking on their end and we did not have a room to stay at for the 2 nights we were in London As 18 year olds miles away from home This had me very distressed and upset and I had to get my parents to call to get our room back The customer service from the reception team was appalling unprofessional attitude and very un friendly They could not have been bothered if they tried no manager to speak to on site either Very disorganised Bed sheets and walls had marks on them and the bed was tiny We were offered complimentary breakfast for the inconvenience they had caused This itself was very dissatisfactory small selection of pastries cereal and some ham and cheese Safe to say I will never be returning or recommending this hotel to anyone worst stay I have ever had Highly disappointed I have wasted my money on this ,-0.9779
1377,Best Western Maitrise Hotel Edgware Road, Had to go down stairs past the utility area Bedroom compact no window felt claustrophobic Breakfast not value for money No sign of any upgrade information for breakfast ,-0.6636
1378,Best Western Maitrise Hotel Edgware Road, The bed sheets were discolored window shades falling off hooks bedside light bulb out alarm clock missing Also pretty noisy with street noise,-0.4019
1380,Best Western Maitrise Hotel Edgware Road, Rooms are small and unclean bed sheet were dirty and covered in hair Room full of dust and needs a deep clean Arrived in the evening to check in to be told that we had to pay 50 deposit when I questioned this the receptionist was very rude to us Felt more like a inconvenience then a guest Don t bother paying for breakfast it s bread no toaster cereal and fruit not worth the money Hotel is way over priced and I m very surprised it s a best western very poor hotel in general,-0.7601
1381,Best Western Maitrise Hotel Edgware Road, No window in room wifi didn t connect kept saying it had expired water not very hot in shower,-0.296
1382,Best Western Maitrise Hotel Edgware Road, Shower was dirty hairs one shower knob was broken and left in the shower tray shower door did not close Really poor attention to detail in room preparation Very Very noisy,-0.6705
1383,Best Western Maitrise Hotel Edgware Road, I paid a fortune for a room and they allocated me on the basement There was no window and the room was so narrow that I could not open my suitcase on the floor I had to do it on the bed ,-0.296
1385,Best Western Maitrise Hotel Edgware Road, I do not recommend this hotel to others as for what it offers can be found in a better establishment The room was on the lower ground very depressing I could hear next room clients noise it seems the lady loves to scream when the man is No insulation The reception was in the middle of a coffee area very confusing ,-0.6904
1386,Best Western Maitrise Hotel Edgware Road, The rooms were ridiculously tiny the dressing table was damaged so kept catching leg as you tried to squeeze past the tiniest gap between that and the bed The entrance is via a coffee shop type set up so not pleasant When we first got there they gave us a basement room well box with NO windows is that even legal surely this is a fire and safety hazard I was so claustrophobic and me and my 6ft1 fianc e had to constantly bump into eachother just to move about Both our feet hung out the bottom of the bed I have stayed in MANY hotels and this by far is the worst I have EVER been to Rip off and the staff are unhelpful and rude While we tried to check out and tell them of our awful experience she took a phone call and took so long we walked out My personal info and licence were left on the reception for everyone to see so I took these with me Horrendous hotel ,-0.9596
1391,Best Western Maitrise Hotel Edgware Road, We paid extra for breakfast which was awful Bread with no toaster tea in water not properly boiled stale food The staff were not particularly friendly or responsive One lady said she would come to our room in 2 minutes to help us with our safe 10 minutes later still no sign Reception was in a cafe which felt weird and not that safe for leaving bags ,-0.6107
1392,Best Western Maitrise Hotel Edgware Road, No full English breakfast offered no croissants nothing really so very poor value wont come again unless I know this was a blip,-0.659
1393,Best Western Maitrise Hotel Edgware Road, The forced declaration I had to make at the reception Not told we would be on the basement No windows No kettle Staff refused first refused to replace the missing kettle,-0.8365
1394,Best Western Maitrise Hotel Edgware Road, The rooms were on the small side I was asked for 50 deposit for each room which i wasn t expecting to have to pay Our rooms were on the front of hotel on very busy Main Street so was noisy but hey we were in London all part of the experience,-0.1752
1395,Best Western Maitrise Hotel Edgware Road, This hotel is absolutely rubbish Sorry to say that I arrived to the room and it looked okay I got to the toilet and shower room and toilet seat were dirty The previous guest s shampoo conditioner hand soap and the shower gel were still there When I got to bed I start scratching as the materials are not clean enough I highly do not recommend this hotel at all I asked the receptionist to give me a refund but he refused ,-0.5866
1397,Best Western Maitrise Hotel Edgware Road, The worse customer service experience I ve had in a hotel The a c was faulty and the front desk didn t only act completely uninterested in helping but even bothered by us Never fixed the problem and weren t even slightly appologetic by it ,-0.2573
1398,Best Western Maitrise Hotel Edgware Road, Room was too small Not enough space to move around It would be ok if the hotel was not advertised as a 4 star hotel It is in no way a 4 star hotel 3 at the most ,0
1399,Best Western Maitrise Hotel Edgware Road, Staff were somewhat rude Entered the hotel through the cafe which is a bit off putting Breakfast was abysmal Small rooms,-0.4033
1400,Best Western Maitrise Hotel Edgware Road, Everything was really good just could have had shampoo conditioner and shower gel in bathrooms and maybe a toaster at breakfast But wasn t a problem really ,-0.3514
1401,Best Western Maitrise Hotel Edgware Road, Bed sheets were filthy stains on the sheets and little tiny hairs Room was very small with no window asked for a different room but they could not change this for our 2 night stay Staff at reception were quite open to conplain to each other about background matters very unprofessional ,-0.7559
1402,Best Western Maitrise Hotel Edgware Road, Very loud outside Room a little on the small side wasnt easy to work at the desk on my laptop due to the room to get pas the bed ,-0.3412
1403,Best Western Maitrise Hotel Edgware Road, Confusion over whether I had paid from the girl on the front desk was not what I wanted to be confronted with after a long journey Breakfast was average ,-0.4588
1404,Best Western Maitrise Hotel Edgware Road, The hotel was very small and didn t have many facilities hotel room was smallest I have stayed in especially when the cost wasn t particularly cheap ,0
1405,Best Western Maitrise Hotel Edgware Road, Tiny room no space to even open up a suitcase Fittings were all falling apart and the toilet door was broken and could not be locked Not clean Bedsheets had spots Breakfast was too expensive cheaper to buy sandwiches and drinks from the supermarket next door A lot of traffic noise Air con was not working throughout our stay despite us telling them about it three times They only offered to hv someone check after 3 nights ,-0.7997
1406,Best Western Maitrise Hotel Edgware Road, The receptionist didn t know what floor my room was on When I found my room in the basement someone else was in my room They had gotten their room number wrong and their key had opened my door They said they had also gotten into another room accidentally on the 3rd floor when they also were sent to the wrong room Clearly there is a lack of security in this establishment and poor staff The room itself was cold and small ,-0.8225
1408,Best Western Maitrise Hotel Edgware Road, Was a little cramped not much space between the wall and bed lift out of order ,0
1410,Best Western Maitrise Hotel Edgware Road, It s more a cafe with rooms than a hotel status room tiniest I ve ever stayed in window doesn t open air con broken could have been moved to a windowless room as no refund given 1 hour after I paid on arrival in the end they moved us to another best western I m not picky but it was 28c in our room no air very unhealthy plus exposed wire in the bathroom made us on edge a bit ,-0.8669
1411,Best Western Maitrise Hotel Edgware Road, Ther reception is the cash desk of a costa type coffee shop Breakfast served in said shop No residents lounge or bar Continental breakfast ok Full English was 12 50 and consisted of scramled egg 2xhash browns 1x sausage and beans all warmed up in the microwave by the coffee shop girl receptionist Not a full English by my standards and a total rip off We visited for the cricket as the hotel is near the ground however the immediate are is not at all nice quite intimidating to say the least At a cost of 309 00 for 2 nights for 2 we we re ripped off Extremely dissappointed BIG mistake ,-0.726
1412,Best Western Maitrise Hotel Edgware Road, Got to the hotel and they had over booked Offered me a room in an alternative location that was useless for my ongoing work trip the following day Declined to stay so no idea what the hotel was like but I don t expect to book a room to find it isn t available I will stick with booking direct with hotels I know and chains in future ,-0.2693
1414,Best Western Maitrise Hotel Edgware Road, Room was very compact Air con didn t appear to work so had to sleep with window open which was very noisy ,-0.2484
1415,Best Western Maitrise Hotel Edgware Road, My room was near the reception u can hear the receptionist talking loudly even during sleeping hours in the evening ,0
1416,Best Western Maitrise Hotel Edgware Road, Rooms were very small and our air conditioning unit didn t work We also complained about something being removed from our room by mistake but received no feedback or help from reception ,-0.804
1417,Best Western Maitrise Hotel Edgware Road, Room was tiny NOT small tiny Couldn t even get down one side of the bed Telephone in room didn t work Asked for an iron 4 times before getting it Parts of room and bathroom falling apart edging of bedside table peeled back and curled up one of the draws was broken and wouldn t close Shower tap broke off in my hand and shower door was missing part of the handle Breakfast extremely basic and not good quality Tried to upgrade to cooked breakfast and told us a different price to the one stated and didn t have a menu just said what do you want ,-0.7654
1420,Best Western Maitrise Hotel Edgware Road, 1 Elevator was not working 3 out of 4 days 2 the room was the smallest room I ve ever slept in a 4 stars hotel 3 the bathroom door was broken for 3 days and i told the reception and they kept told me they will fix it and nothing happpened 4 window doesnt open 5 AC takes two hours to cool the room ,-0.2023
1422,Best Western Maitrise Hotel Edgware Road, No hotel lobby Reception desk was very small and part of a cafe on ground floor making it unclear where the hotel is As a lone traveller this can be confusing ,-0.741
1423,Best Western Maitrise Hotel Edgware Road, Hard to find hotel reception is behind the bar at a coffeshop The room had no windows no airflow AC was really bad Too hot and lack of fresh air made the nights impossible to sleep through ,-0.671
1425,Best Western Maitrise Hotel Edgware Road, The girl was on the phone arguing with god knows who about some luggage which was not put in the correct room as the guest felt unwell and she didnt write her handover correctly infact I could tell you everything about that event some things should be spoken about in private left us waiting for ages till we could check in she kept telling the person on the phone she has guests waiting to check in but they took no notice Very very very poor staff levels at this property check in was terrible,-0.93
1426,Best Western Maitrise Hotel Edgware Road, The hot water in the shower is connected to the room AC Ask the staff for the correct setting before you take two cold showers like I did The lift wasn t working for my stay which could be a problem for some guests ,-0.0516
1429,Best Western Maitrise Hotel Edgware Road, A room without a window is called a cupboard It should not even be legal and definitely not called a 4 stars hotel And when there is written on the booking description that the room has a view not having a window is a consumer fraud Eventually when a hotel mistakenly charges GBP 267 instead of 297 one can expect the customer to be informed that a mistake was made and that an additional GBP 30 will be charged before the additional charging happens ,-0.8389
1430,Best Western Maitrise Hotel Edgware Road, Hotel was advertised to include breakfast When we arrived we were told that it was a continental breakfast and would have to pay 7 95 for a full English breakfast When visiting the capital of England I would expect a full English breakfast I was then told that due to short staffing the English breakfast would not be available on our first morning there The Continental breakfast that was provided was of very poor quality The bread was stale there was no selection of cheese or meat only one type of cheese and meat This was curled and dry I ate breakfast out of the hotel on both mornings ,-0.7178
1432,Best Western Maitrise Hotel Edgware Road, Street noise at night ,0
1433,Best Western Maitrise Hotel Edgware Road, Being on the ground floor as a female traveller No window in the room A long black hair on the quilt cover Chipped crockery at breakfast Noise from plumbing when toilets were flushed by other guests ,-0.296
1434,Best Western Maitrise Hotel Edgware Road, The room was tiny even tinier than in the pictures Ive never slept anywhere this small We could barely move around the bed and that was it and the bathroom We saw pictures of two rooms in the description of the standard double room mainly large rooms and two small i request it would be one of the larger rooms but even for the small ones i saw it was ridiculous ,-0.5023
1435,Best Western Maitrise Hotel Edgware Road, alot of road noise late into the night and early morning For this reason will not stay again The rooms are very small ,0
1437,Best Western Maitrise Hotel Edgware Road, Felt a little intimidated by the clientele in the cafe It was a large group discussing very loudly political issues with some anger Could hear them in my room too ,-0.7436
1438,Best Western Maitrise Hotel Edgware Road, The bed when arrived had long hair within the sheets And breakfast options were slim Pillows were hard,-0.1027
1439,Best Western Maitrise Hotel Edgware Road, After a long day travelling very disappointing that no food available although good Italian restaurant next door,-0.469
1440,Best Western Maitrise Hotel Edgware Road, Tiny room size had to move chair to open door Noise level from the street was awful Hardly slept even though the bed was comfortable No wine glasses or ice buckets available considering this is meant to b a 4 found this extremely poor Breakfast is cleared away before 10am even though it s on until 10 Not so good Although they did put it back out for us ,-0.7858
1441,Best Western Maitrise Hotel Edgware Road, Reception staff not hotel trained Just essential breakfast Low standard of cleaning Loud Neighbourhood ,-0.2732
1443,Best Western Maitrise Hotel Edgware Road, Extremely hot in room 002 with no window Had to leave the key card in the slot 24 7 to keep the air con Working or it became unbearably hot to the point where I had to take a cold shower in the middle of the night I was woken up by a staff member coming into my room at midnight as I lay sleeping naked due to heat I was not impressed All sorts of noise kept me awake from there on in a water heater noise kept recurring for the best part of the night After finally falling asleep after a very disrupted night I was horrified to be woken up by drilling on the other side of my wall at 9am With no warning or mention of the disturbance I was beside myself with frustration I stayed for two nights over the weekend and thought that maybe the Sunday morning would be a little quieter and time for some rest after going out late on Saturday night wrong Once again hammering and drilling first thing Sunday morning I couldn t wait to get back home to Devon for some rest I will never stay at this hotel again and I advise you to be very cautious when considering this hotel,-0.9064
1445,Best Western Maitrise Hotel Edgware Road, The lift didn t work It stated breakfast included but it was only continental not a cooked breakfast The walls had marks all over and the bathroom door didn t close or lock ,0
1446,Best Western Maitrise Hotel Edgware Road, Very small room Could not find not even enough room to open my large suitcase other than on the bed The specific room I had was also right underneath the main sewage line and the water noise was constant No windows ,-0.296
1447,Best Western Maitrise Hotel Edgware Road, There is no reception just man behind a bar at cafe on the ground floor Hoover and some cleaning stuff remained in narrow hallway just in front our doors for all three days Do not expect much from Edgware road area unless you looking for central location in London ,-0.296
1448,Best Western Maitrise Hotel Edgware Road, Room very hot due to problems with air conditioning Misunderstanding about booking but was resolved eventually,-0.1779
1449,Best Western Maitrise Hotel Edgware Road, The booking format does not make it clear that there are breakfast options and only makes the full breakfast option available ,-0.2924
1450,Best Western Maitrise Hotel Edgware Road, Lots of things went wrong I did not like how the toilet roll bracket came off the wall I did not like how the shower fitting was unstable and at a diagonal angle I did not like how the curtain rail fell of the wall when the curtain was drawn back The bedside cabinet came apart when I moved it slightly to get my phone charger But above all these points the air conditioning wasn t working so it was incredibly hot during the night and with Paddington police station opposite made for an impossible night s sleep ,-0.6668
1451,Best Western Maitrise Hotel Edgware Road, No windows Staff rude on checkout and poorly trained No invoice on checkout No windows No windows No windrows Like a well decorated submarine,-0.7035
1452,Best Western Maitrise Hotel Edgware Road, only the bed is really small for couple,0
1454,Best Western Maitrise Hotel Edgware Road, Hotel still under construction no lobby no tv or wifi aircon didn t seem to be functioning so room very hot Checked out after seeing room promised to email me re refund but still waiting to hear back from them Can t get hold of them because they don t even have a telephone number yet Hotel should not be open for bookings will expect re imbursement from Booking com for lack of due diligence if I don t hear back from them ,-0.0882
1455,Best Western Maitrise Hotel Edgware Road, Not enough space to tell you all the hotel was shocking I m still waiting for a call back from the manager ,-0.4019
1456,Best Western Maitrise Hotel Edgware Road, small room ,0
1458,Best Western Maitrise Hotel Edgware Road, Window view,0
1459,Best Western Maitrise Hotel Edgware Road, The room was a bit noisy ,-0.1779
1460,Best Western Maitrise Hotel Edgware Road, Very small noisy Not sure this should be classed a 4 star sorry,-0.5007
1461,Best Western Maitrise Hotel Edgware Road, The smell the dirtyness the darkness,-0.25
1462,Best Western Maitrise Hotel Edgware Road, No windows in bedrooms,-0.296
1463,Best Western Maitrise Hotel Edgware Road, No window in the room ,-0.296
1464,Best Western Maitrise Hotel Edgware Road, room was really small,0
1465,Best Western Maitrise Hotel Edgware Road, Nothing,0
1466,Best Western Maitrise Hotel Edgware Road, Requested An accessible bathroom didn t get one manage to get son into the shower awkward getting him out with shower tray wet,-0.1531
1467,Best Western Maitrise Hotel Edgware Road, had a room with no window for first night but rectified by staff,-0.1531
1469,Best Western Maitrise Hotel Edgware Road, Stayed in a terrible room no windows ,-0.6486
1470,Best Western Maitrise Hotel Edgware Road, Bed sheets pillow ,0
1473,Best Western Maitrise Hotel Edgware Road, The pictures were nothing like the venue in fact I m still looking for the bar ,-0.2755
1475,Best Western Maitrise Hotel Edgware Road, Hotel isn t good marked from the street no window not clear bed clothes dirty mirror,-0.5242
1476,Best Western Maitrise Hotel Edgware Road, just a tad jaded,-0.3818
1477,Best Western Maitrise Hotel Edgware Road, The room sizes,0
1479,Best Western Maitrise Hotel Edgware Road, The staff checking us in was rude and very un polite The breakfast was cold and tasted disgusting ,-0.7506
1480,Best Western Maitrise Hotel Edgware Road, Breakfast was poor,-0.4767
1481,Best Western Maitrise Hotel Edgware Road, The hotel is not four star,0
1482,Best Western Maitrise Hotel Edgware Road, Room was tiny and too hot,0
1483,Best Western Maitrise Hotel Edgware Road, Room with cracked window There was a pungent odour in the room ,0
1484,Best Western Maitrise Hotel Edgware Road, Staff were rude room was too hot and small,-0.4588
1485,Best Western Maitrise Hotel Edgware Road, A window,0
1486,Best Western Maitrise Hotel Edgware Road, Basement room no window although advertised with city view ,-0.296
1487,Best Western Maitrise Hotel Edgware Road, traffic road noise,0
1489,Best Western Maitrise Hotel Edgware Road, Continental breakfast not up to 4 standard I m afraid ,0
1491,Best Western Maitrise Hotel Edgware Road, Windows single glazed so noise from road evident,0
1493,Best Western Maitrise Hotel Edgware Road, Nothing,0
1494,Best Western Maitrise Hotel Edgware Road, Car Noise and AC was hot,0
1495,Best Western Maitrise Hotel Edgware Road, Place serving food at the reception must put food elsewhere,0
1497,Best Western Maitrise Hotel Edgware Road, No windows room hot air con not good enough also asked for room on top floor ,-0.4226
1499,Best Western Maitrise Hotel Edgware Road, Noise No windows ,-0.296
1500,Best Western Maitrise Hotel Edgware Road, Very small room ,0
1502,Best Western Maitrise Hotel Edgware Road, The bedroom was very small but probably normal for London,0
1503,Best Western Maitrise Hotel Edgware Road, The room was on 1 and was extremely small not what was advertised ,0
1504,Best Western Maitrise Hotel Edgware Road, No window in the bedroom,-0.296
1505,Best Western Maitrise Hotel Edgware Road, air conditioning needed reset each night and 3rd night didnt work at all,0
1506,Best Western Maitrise Hotel Edgware Road, wast of money never come again,0
1507,Best Western Maitrise Hotel Edgware Road, Room was very small for two people and air conditioner did not work very well ,-0.2572
1508,Best Western Maitrise Hotel Edgware Road, There wasn t windows in the room and itwas very stuffy ,0
1512,Best Western Maitrise Hotel Edgware Road, Too warm No windows,-0.0772
1513,Best Western Maitrise Hotel Edgware Road, Room was extremely small and cramped No windows Felt claustrophobic,-0.296
1515,Best Western Maitrise Hotel Edgware Road, The AC was not working and there are no windows so we could not sleep,-0.296
1516,Best Western Maitrise Hotel Edgware Road, Room is tiny ,0
1517,Best Western Maitrise Hotel Edgware Road, I had no windows in my room ,-0.296
1518,Best Western Maitrise Hotel Edgware Road, Room 106 too cold ,0
1521,Best Western Maitrise Hotel Edgware Road, The below ground room,0
1522,Best Western Maitrise Hotel Edgware Road, The elevator was not working,0
1523,Best Western Maitrise Hotel Edgware Road, No main reception it s in a cafe ,-0.296
1524,Best Western Maitrise Hotel Edgware Road, No lounge area or bar Drinks late evening were poor and not welcoming ,-0.7721
1525,Best Western Maitrise Hotel Edgware Road, The door to the bathroom did not close properly you would expect some blinds or curtains when facing a main road ,0
1526,Best Western Maitrise Hotel Edgware Road, Bit noisy with window open but on main road so to be expected,-0.09
1528,Best Western Maitrise Hotel Edgware Road, room cold and road noise bad as we were at front of hotel choice at breakfast very limited,-0.6901
1530,Best Western Maitrise Hotel Edgware Road, Tiny room,0
1532,Best Western Maitrise Hotel Edgware Road, The mattress was too hard,-0.1027
1533,Best Western Maitrise Hotel Edgware Road, It s a small hotel ,0
1537,Best Western Maitrise Hotel Edgware Road, everything was bad ,-0.5423
1538,Best Western Maitrise Hotel Edgware Road, Locked doors night time,0
1540,Best Western Maitrise Hotel Edgware Road, lift service is not available,0
1542,Best Western Maitrise Hotel Edgware Road, Disturbance uotside,-0.3818
1543,Best Western Maitrise Hotel Edgware Road, Being moved down the road as I arrived after midnight ,0
1544,Best Western Maitrise Hotel Edgware Road, Too noisy,-0.1779
1546,Best Western Maitrise Hotel Edgware Road, Feeing of not quite ever finished ,0
1548,Best Western Maitrise Hotel Edgware Road, Lifts not working all week 3 flights of stairs to room ,0
1552,Best Western Maitrise Hotel Edgware Road, Small room and very hot ,0
1553,Best Western Maitrise Hotel Edgware Road, no elevator room is narrow,-0.296
1554,Best Western Maitrise Hotel Edgware Road, Very poor welcome Lift not working Fire doors kept open with fire extinguisher Very poor breakfast ,-0.5956
1555,Best Western Maitrise Hotel Edgware Road, Still had refurbishment going on Too much partial built products in the hallways Lift not working,0
1556,Best Western Maitrise Hotel Edgware Road, Entrance to the hotel was through a restaurant and it was poorly signed and hard to find ,-0.1027
1557,Best Western Maitrise Hotel Edgware Road, Toilet and sink dirty No window Noisy Room very small ,-0.5547
1558,Best Western Maitrise Hotel Edgware Road, It was opposite a police station so the sirens was abit annoying at night,-0.4019
1559,Best Western Maitrise Hotel Edgware Road, The room was to to small as well as the bed was plus at night was very hot no air con,-0.0972
1560,Best Western Maitrise Hotel Edgware Road, Nothing,0
1561,Best Western Maitrise Hotel Edgware Road, Everything,0
1562,Commodore Hotel, Shower temperature Kept changing from freezing to scorching,-0.1027
1565,Commodore Hotel, The twin room we had was quite small and it was awkward to get past the bottom of the beds to get yo the bathroom ,-0.1531
1567,Commodore Hotel, Breakfast service was very slow Had to ask twice for our breakfasts ,0
1568,Commodore Hotel, Stair carpets threadbare Hallways a bit run down,0
1569,Commodore Hotel, No bar,-0.296
1572,Commodore Hotel, The place needs to be updated ,0
1574,Commodore Hotel, My room was run down worn carpet needed decorating bathroom in bad condition ,-0.6908
1575,Commodore Hotel, The carpet in the room was not clean and needed replacing The bathroom was a little on the small side ,-0.3089
1576,Commodore Hotel, Broken shower dirty and ript carpet,-0.7184
1577,Commodore Hotel, The price of breakfast was quite high so we ate else where ,0
1578,Commodore Hotel, 50 deposit in case we used mini bar was silly bathroom was tiny no room to turn around,-0.2732
1581,Commodore Hotel, Shower old worn and not fit for purpose Sofa badly stained,-0.7514
1582,Commodore Hotel, No hotel bar,-0.296
1584,Commodore Hotel, Nothing,0
1585,Commodore Hotel, broken heating in bathroom and very poor quality breakfast Bacon burned not eatible,-0.7574
1586,Commodore Hotel, n a,0
1588,Commodore Hotel, some rooms are very small,0
1592,Commodore Hotel, the rooms a bit small,0
1595,Commodore Hotel, VERY DIRTY BATHROOM LIKE A PIGSTY sporco soprattutto il bagno camera indecente,-0.1287
1596,Commodore Hotel, 4 stars is very far from actual avoid this hotel altogether worn down needs renovation ,-0.5267
1597,Commodore Hotel, Rooms require update,0
1598,Commodore Hotel, Hotel was a little worn and shabby Could do with a makeover ,-0.228
1601,Commodore Hotel, Noise from trains no iron in room the hotel could do with decorate ,-0.296
1602,Commodore Hotel, room way too small housekeeping service not done Wifi does not work in room,0
1603,Commodore Hotel, Room was basic,0
1604,Commodore Hotel, Too dark especially my wife trying to do her makeup,0
1606,Commodore Hotel, Room too small no restaurant bar not business hotel standard,-0.296
1608,Commodore Hotel, Needs renovation planned and the distribution is a big chaotic,-0.4939
1609,Commodore Hotel, Needs refurbished,0
1610,Commodore Hotel, all things was bad,-0.5423
1611,Commodore Hotel, I do not need to explain anymore It was a depressing poor venue,-0.6908
1612,Commodore Hotel, The room we stayed in was nothing like the pictures it was very old fashioned with a saggy wobbly 4 poster bed ,-0.2755
1613,Commodore Hotel, no elevator,-0.296
1614,Commodore Hotel, The rooms are worn and run down The high price seemed to be based on location not amenities ,-0.296
1615,Commodore Hotel, The Basement rooms are a little noisy,-0.1045
1616,Commodore Hotel, Too much broken stuff door lock broken kettle sink tap in a basement with claustrophobic corridors ,-0.7351
1619,Commodore Hotel, The carpets looked very tired as did the bathroom ,-0.4927
1620,Commodore Hotel, Slow and intermittent wifi Very tight bathroom,0
1621,Commodore Hotel, Arrived 10 pm no food bar available Accommodation tired with peeling paint,-0.6249
1624,Commodore Hotel, Everything One of the worst hotels I ve ever stayed in,-0.6249
1625,Commodore Hotel, Hotel basic amenities Understaffed ,0
1626,Commodore Hotel, Room could have been larger,0
1627,Commodore Hotel, BATHROOM A BIT TRIED AND WORN,-0.296
1629,Commodore Hotel, Nothing,0
1632,Commodore Hotel, Nothing in particular ,0
1633,Commodore Hotel, No breakfast included,-0.296
1634,Commodore Hotel, Shower water wasn t the hottest,0
1636,Commodore Hotel, Small room old bathroom,0
1637,Commodore Hotel, Bathroom dated,0
1639,Commodore Hotel, Carpets decor bathroom furniture all rather tired ,-0.4404
1640,Commodore Hotel, Noise levels from other rooms is a the only set back ,0
1641,Commodore Hotel, If you choose the basic room you get a pretty weak room in the basement It s not well advertised and I feel cheated ,-0.5878
1644,Commodore Hotel, small room,0
1645,Commodore Hotel, The small room dust on the closet and noise from installations ,0
1646,Commodore Hotel, Bed was uncomfortable and wasn t worth 100 a night,-0.1779
1647,Commodore Hotel, There were stairs in the bed room to get from the door to the beds and the bathroom was very small ,0
1649,Commodore Hotel, Carpet in the room needs attention ASAP,0
1651,Commodore Hotel, Nothing everything was great ,-0.5096
1653,Commodore Hotel, Some of the fittings and fixtures are looking their age ,0
1654,Commodore Hotel, The room was very small,0
1656,Commodore Hotel, The noise The parking The dripping ceiling in the bathroom The poor cleanliness The high cost,-0.4767
1658,Commodore Hotel, Stained carpet Paint peeling off walls,0
1661,Commodore Hotel, We arrived at our hotel room to find our toilet ceiling was leaking heavily The have a cheek to take 50 of my credit card for damages ,-0.0772
1662,Commodore Hotel, Room a little tired,-0.3832
1665,Commodore Hotel, The carpet was kind of tired otherwise everything was ok ,-0.2484
1666,Commodore Hotel, Interior needs a little updating but no major flaws,-0.3409
1667,Commodore Hotel, the oven wasn t working,0
1668,Commodore Hotel, Shabby run down leaky taps creepy floors and beds It s a very tired hotel ,-0.4927
1670,Commodore Hotel, Shower curtain,0
1671,Commodore Hotel, Room very small Bathroom also very small with cramped shower and doors that didn t shut ,0
1672,Commodore Hotel, Breakfast was unfortunately not worth the money ,-0.4707
1673,Commodore Hotel, Shower is not working very well and the hot tap water at the lavabo is not working very well and a piece was broken,-0.732
1674,Commodore Hotel, Carpets worn out ,-0.296
1675,Commodore Hotel, Wouldn t say this is a 4 star hotel ,0
1676,Commodore Hotel, Found a pill in a bedroom One toilet had no flush system Appartment was for 5 guests but only had 3 cups to use in kitchen,-0.1531
1677,Commodore Hotel, Staff could of been more approachable hotel could do with a freshen up redecorate,0
1680,Commodore Hotel, Room too old and in the basement,0
1682,Commodore Hotel, Room was old bathroom was old,0
1683,Commodore Hotel, When i booked i requested a quiet room To find out that the room i was given had the same noise as if you were on a train platform ,0
1684,Commodore Hotel, Rooms were a little small,0
1686,Commodore Hotel, Always disappointed that it takes 4 5 days to get the 50 deposit back ,-0.4767
1687,Commodore Hotel, room too small and crammed,0
1688,Commodore Hotel, moving noisy,-0.1779
