Hotel_Name,Positive_Review
Commodore Hotel, We stayed in the 1 bedroom apartment Comfy bed lovely shower pleased there was an en suite Location was great 
Commodore Hotel, Liked the comfort of the room and the central location just north of Hyde Park Also liked the location within 300 meters of an underground tube station The London underground provides unsurpassed ease of transportation 
Commodore Hotel, Big two bedroom room with very nice clean bathrooms and kitchen Good location 
Commodore Hotel, We we re allowed to leave our luggages at the hotel 2hours earlier Subsequently the Porter sent to our apartment 
Commodore Hotel, Informal
Commodore Hotel, Friendly staff especially at breakfast and the best continental breakfast I ve ever had
Commodore Hotel, Location was great 
Commodore Hotel, Nothing much
Commodore Hotel, Location to Hyde Park and the tube 
Commodore Hotel, The only positives were the free wifi and the location
Commodore Hotel,No Positive
Commodore Hotel, Great location
Commodore Hotel, Breakfast was good and there were different things to choose The position is very good and situated centrally 
Commodore Hotel, the room was large and the bed was comfortable The room was overall ok 
Commodore Hotel, The staff was sometimes very busy but I left my phone at the desk and they picked it up stored it and approached me later to know if I was the one who lost it Super On the phone not so friendly though 
Commodore Hotel, Location is excellent 
Commodore Hotel, The location I like lancastee gate quiet safe yet central 
Commodore Hotel, Staff very helpful and friendly 
Commodore Hotel, The apartment was brilliant great location huge and very comfortable 
Commodore Hotel, Only location
Commodore Hotel, Hotel had a lot of character not too far from the tube on the central line Lancaster Gate tube 
Commodore Hotel, Nothing 
Commodore Hotel, Lovely location
Commodore Hotel,No Positive
Commodore Hotel, Room was nice except
Commodore Hotel, Great location 
Commodore Hotel, The head receptionist was lovely and couldn t have been more helpful Her staff on the other hand could at least have raised a smile during check in 
Commodore Hotel, Pleasant staff comfortable bed powerful hot water good sized room 
Commodore Hotel, The location suited our needs
Commodore Hotel, Nothing
Commodore Hotel, Great location clean
Commodore Hotel, All the consumables towels bedsheets etc were very clean Full tea and coffee making facilities which were well stocked and a very reasonably priced mini bar in the room
Commodore Hotel, The staff and location where perfect Room service menu was poor Offered 3 types of cheesecake but they had none Continental breakfast was poor the fruit was from a tin we had to ring down and ask for rolls but then got no butter just jam The tea and coffee was cold 
Commodore Hotel, Excellent location and hotel looked great from the outside 
Commodore Hotel, Not a single thing 
Commodore Hotel, The staff I dealt with where polite helpful The location was handy 
Commodore Hotel, It was at a perfect location and very close to the underground tube station It s location was brilliant The neighbourhood was very classy and safe For being in the middle of the city it had such a quiet location which was perfect 
Commodore Hotel, Good location friendly and helpful staff Safety deposit box Good value all round 
Commodore Hotel, The location right on the edge of Kensington Gardens Hyde Park was fantastic
Commodore Hotel, I always choose to stay here when I m in London as it s a great location and prices very reasonable Very comfortable and feels English in a good way 
Commodore Hotel, Not very much
Commodore Hotel, The location
Commodore Hotel, Staff were excellent We had booked an apartment and unfortunately it was not available however staff delta with this excellently and gave us 2 suites and included breakfast each day Location was excellent Nothing we asked wad an issue for staff 
Commodore Hotel, Nothing
Commodore Hotel, The power shower
Commodore Hotel, The location is quite convenient Just a short walk away from Lancaster Gate station that will take you anywhere in central London Also there are buses and nearby restaurants Staff were also quite accommodating and friendly 
Commodore Hotel, Nothing 
Commodore Hotel, Entry lobby was beautiful
Commodore Hotel, very comfortable bed excellent location for Hyde Park friendly staff
Commodore Hotel, Friendly staff Location Visiting proms in the park Price very reasonable Good breakfast
Commodore Hotel,No Positive
Commodore Hotel,No Positive
Commodore Hotel, Location
Commodore Hotel, Bathroom was Dirty unclean towels broken bed uncomfortable mattress kettle not working mini fridge with empty bottles which they tried to bill us for no ironing board or iron when we asked the staff where unhelpful staff and said we will get u one in the morning Which was no good to us as We needed to iron our clothes to go out Had to change plans and never got iron in the morning 
Commodore Hotel, Great location enjoyed being able to walk everywhere The room was comfortable and clean 
Commodore Hotel, Excellent location considering that hotel is on Central Line and red line now is a night tube Easy to walk from Paddington Ideal place to sleep after exhausting walks in London
Commodore Hotel, The bathroom was very nice and the kitchen living room was nice
Commodore Hotel, The location was good was in a great area
Commodore Hotel, Room was quite spacious
Commodore Hotel, I liked the fact my father used to own the restaurant downstairs from the hotel
Commodore Hotel, Very good location next to Hyde Park Friendly staff
Commodore Hotel, Everything was really good about this apartment It was the first time I stayed in such a nice place in this area with this price 
Commodore Hotel, Location was right for our needs 
Commodore Hotel, The staff were excellent I was given a double room when I had booked a single
Commodore Hotel, The staff were great and very friendly
Commodore Hotel, Great location Right next to Hyde Park 5 minute walk to Lancaster Gate tube station not far of a walk to Marble Arch and Oxford Street Area seemed safe and quite Staff seemed very friendly 
Commodore Hotel, OK location
Commodore Hotel, Its location although a bit of distance from the main attractions
Commodore Hotel, Location was great staff at breakfast very friendly and comfy bed
Commodore Hotel, Clean and good location 
Commodore Hotel, Location was convenient and room was big bathroom was really good 
Commodore Hotel,No Positive
Commodore Hotel, We were located on the 6th floor but once they learned my wife was claustraphbic so would have to take the stairs and not the lift they put us on the ground floor The only room available was an Executive Double but they upgraded us at no extra cost 
Commodore Hotel, Great location good value
Commodore Hotel, Superb location close to Hyde park and a 2 3 minutes walk to the Lanchester gate underground station A nice pub and a convenient kiosk nearby Good breakfast but we had to pay extra for English breakfast Nice and clean rom with a desk for computer work Positive that the internet access lasted for full week no problem with internet access for extra devices 2 laptops 2 mobile phones Friendly and service minded staff breakfast 
Commodore Hotel, Staff position breakfast all great
Commodore Hotel, Immediate smiley welcome from polite and knowledgeable staff laughs before we even received key Easy to find perfect location amazingly comfortable beds quiet room Very good 
Commodore Hotel, Best bit Fast free wifi Great Brilliant location lovely view over Leinster Mews from the window Staff were efficient Bed was comfortable Room was clean And there was a bath which was a bonus got to love a bath 
Commodore Hotel, Staff were very good
Commodore Hotel,No Positive
Commodore Hotel, 1 Staff were easy to deal with and helpful which I found a bit surprising because of the other customer reviews I saw here Probably the hotel had issues in the past and fixed them 2 I m generally satisfied with what I got compared to what I paid I was a solo traveler in a double room and I got a decent genius discount 
Commodore Hotel, The staff tried to do their best and the rooms were clean 
Commodore Hotel, Fantastic location as it s only a couple of miles away from the theatres Very comfortable beds and we were surprised to find it had air conditioning as well Would definitely stay here again 
Commodore Hotel, Nothing
Commodore Hotel, The staff were extremely helpful friendly and could not do enough for you very accommodating The full English breakfast was also good 
Commodore Hotel, Wifi and location
Commodore Hotel, Location handy for Hyde Park 
Commodore Hotel, Clean bed sheets
Commodore Hotel, Location was good
Commodore Hotel, The staff were all excellent Diana excelling in the restaurant and a young chap whose name I didn t catch but who worked in the Reception area very helpful and cheerful 
Commodore Hotel, Lobby was very nice Location was good 
Commodore Hotel, The location and staff were excellent and the hotel was luxurious The room was big for london standards I found that it was great value for money 
Commodore Hotel, The free upgrade was appreciated and the staff were helpful and ensured we got to where we needed to be 
Commodore Hotel, Such friendly staff upgraded to a suite which was amazing Beautiful antiques and pictures in the room Massive 4 poster bed Will definitely be back
Commodore Hotel, Location is ideal Clean place and stylish room 
Commodore Hotel, Fantstic quirky room with four poster bed 
Commodore Hotel, The staff especially Vin were extremely helpful We also loved the room given to us 
Commodore Hotel, The location
Commodore Hotel, All the facilities in the room and communal areas were clean and easy to use 
Commodore Hotel, The staff especially the hotel manager was very friendly polite and helpful We liked the location which was a short walk from Lancaster Gate Underground station and across from Hyde park 
Commodore Hotel,No Positive
Commodore Hotel, Our room d cor was beautiful and the location was fantastic It s only a short walk to the subway Paddington station Hyde Park and a couple of good traditional pubs and local shops Would definitely recommend this hotel and we would stay there again 
Commodore Hotel, Nothing
Commodore Hotel, Bed was comfortable and it was well located to the tube network and on the doorstep of Hyde Park very quiet area and a stone throw away from the busy high street of Baywaters
Commodore Hotel, I did like the location and the boys and girls in the reception They are really kind 
Commodore Hotel, Extremely friendly and helpful staff went out of their way to accommodate a couple of requests during our stay Great hotel great location for city exploring only 5 mins from tube station on the central line 
Commodore Hotel, Polite staff comfy bed 
Commodore Hotel, quiete neighborhood close to Hide park breakfast was good quality
Commodore Hotel, The location was great and the staff is friendly and helpful 
Commodore Hotel, The location was great 
Commodore Hotel, The staff were very friendly and we were very privileged to receive an upgrade on our room which was unexpected but fantastic Also due to a late departure time the hotel was very accommodating in allowing us to leave our luggage at the hotel until 6pm the following day The hotel is perfectly situated by Hyde Park and was easily accessible to most areas of central London I will definitely be making a return journey 
Commodore Hotel, The staff at the Reception especially the Greek lady were very friendly and willing to provide excellent services They provided the best solution to the problem described in the negative section 
Commodore Hotel,No Positive
Commodore Hotel, The location is brilliant very central and the hotel looks beautiful My room was only small but comfortable with a surprisingly big enquite bathroom Felt safe was only there one night but would have happily stayed longer
Commodore Hotel, The hotel was very friendly and welcoming and extremely helpful 
Commodore Hotel,No Positive
Commodore Hotel, leaving the next morning There was nothing about this hotel I liked The location is good for the park but there are plenty of better hotels in the area 
Commodore Hotel, 50m from my conference
Commodore Hotel, The bed was comfortable clean bedding and towels Toiletries were included 
Commodore Hotel, Full English was excellent and reception staff very helpful
Commodore Hotel, The Victorian elements were lovely Stopped the hotel being the same as everywhere else The staff were friendly and polite 
Commodore Hotel, Helpful staff great location on a quiet street across from Hyde Park and within a few min walking to Underground station Very reasonably priced 
Commodore Hotel, Friendly staff and reasonable location Nice reception and lounge area 
Commodore Hotel, After a 24hour flight we showed up at the hotel looking all dishellevd and tired The staff could not have been more welcoming They let us freshen up downstairs and held our bags till checkin so we could wander around They gave us maps and heaps of info which really helped us get around hassle free Every time we got home or left in the morning the staff made an effort to smile and see if we needed help and really made us feel comfortable Even though it was absolutely freezing outside inside was so cosy and warm There is really nothing to fault Perfect location literally 3 minutes to walk to the nearest tube and right across from the park with a bike station almost at the front door plus lots of major attractions in walking distance The room was big and had a beautiful bathroom with good heating and wifi Definitely good value for money and would stay here again next time We loved it 
Commodore Hotel, The ambience and location were excellent The staff were friendly and helpful 
Commodore Hotel, The hotel was in a great location close but not too close to town The staff were very helpful and friendly and we were upgraded to a suite which was an unexpected and welcome surprise The room was opulent in its day but needs a little TLC as wear is starting to show With that said it is the first time we have stayed in a hotel where the bedroom is upstairs Very grand The breakfast was good quality and well cooked All in all a great and very enjoyable stay 
Commodore Hotel, Lady in the morning was lovely on reception I left on 25 04 16
Commodore Hotel, The bed was comfy Staff were helpful and polite 
Commodore Hotel, The location was great Bus stations are around the corner and the central line is just at the next stop The staff was very friendly and the breakfast was excellent 
Commodore Hotel, Breakfast good but expensive Room clean staff courteous and helfful
Commodore Hotel, Location was excellent 
Commodore Hotel, Nice to have a double bed in a single room Neighbourhood attractive and very quiet 10 min walk from Paddington Staff very pleasant
Commodore Hotel, large room Viceroy Suite pleasant staff
Commodore Hotel, Great location beautiful hotel and room friendly staff
Commodore Hotel,No Positive
Commodore Hotel, Staff were very friendly lovely bathrooms both in apartment and normal room but apartment shower looked amazing but water came out unevenly for the big head shower but there was also a smaller hand held one inside which was good Even though the apartment floor had stains it still had the wow factor and a good main bed Bit pricey but what you would expect for the location Great for transport too taxi rank round the corner and bus stops 1 minute away not at all far from the station either 
Commodore Hotel, The location of this property is excellent It s close to the tube station and to the bus stops There are convenient stores in the area It s very close to Kensington Gardens 
Commodore Hotel, Beds were comfy location was excellent and overall stay was very enjoyable
Commodore Hotel, The room was of a good size although a little strange with the bathroom on a higher level Staff seemed friendly and helpful 
Commodore Hotel, We liked being so close to the park and easy to access tube and bus lines Lots of good restaurants and pubs nearby Friendly helpful staff 
Commodore Hotel, Staff incredibly friendly room good price for a central London location 
Commodore Hotel, Two minutes from Hyde Park We booked a suit with four poster which was well worth the little extra Breakfast cooked to order was a nice bonus It had an old quaint feel but wasn t lacking in amenities
Commodore Hotel, location is next to lancaster gate station staff are very helpful
Commodore Hotel, The staff were friendly and helpful Hotel was located near to the train station and not far from anywhere we wanted to travel Rooms were clean but small and a great place to locate yourself when staying in London
Commodore Hotel, Booked for 2 nights at 164 on the first night the room had a cold wind blowing in the room room a c only made a sound but did not seem work went to receptionist at midnight to be reallocated another room this room was above 5 flights of stairs room carpet was un clean and tea kettle did not work no internet working even though wireless password given signal too weak even to check emails staff was friendly but hotel needs to be pulled Dow completely and re built I would definitely not come back here again 
Commodore Hotel, Nothing
Commodore Hotel,No Positive
Commodore Hotel, The staff were friendly
Commodore Hotel, Good location English breakfast ordered and cooked in kitchen which was nice but meant it took a lot longer than usual for breakfast 
Commodore Hotel, The bed was very comfortable
Commodore Hotel, Good location Nice hotel Clean and comfortable Close to tube 
Commodore Hotel, Friendly staff great location
Commodore Hotel, Breakfast was poor 
Commodore Hotel,No Positive
Commodore Hotel, The location is incredible the staff are accommodating and the rooms are very comfortable Its quite a small hotel and is quite an old building but all the rooms have been updated to a very high spec they are very modern and clean Perfect base for a stay in London city 
Commodore Hotel, Professional helpful staff By London s standards the rooms are spacious and comfortable The hotel is generally quiet too as it is tucked away from the Bayswater Road 
Commodore Hotel, I have been cheerly welcomed by the hotel manager who really impressed me for enthusiam and kindness All staff was nice throughout all my staying at Commodore 
Commodore Hotel,No Positive
Commodore Hotel, Location excellent Staff very helpful and polite 
Commodore Hotel, The location is great It s opposite of Hyde Park in a very nice and clean neighbourhood The staff was really kind 
Commodore Hotel, The hotel was very close to the tube station
Commodore Hotel, Friendly and accommodating staff great location between Queesnway Lancaster Gate tube stations close to a couple shops restaurants and cafes right next to Hyde Park 
Commodore Hotel, I had told them time of booking that we have young children they gave us the highest floor room The water kept going cold and the windows where ratting all night For 5 start hotel the room needs a builder to fix cracks and smashed draw Also the heating was not great 
Commodore Hotel, The balcony was a nice surprise and the bed was comfy Having the use of the fridge was useful 
Commodore Hotel, Well located and for a reasonable price 
Commodore Hotel,No Positive
Commodore Hotel,No Positive
Commodore Hotel, Only the location
Commodore Hotel, The staff were very helpful Also very near an underground and close to beautiful Hyde Park Clean towels each day and beds made nicely
Commodore Hotel, The staff were generally friendly and accommodating When it came time to leave they helped us by organising a taxi to take us to the airport which was much appreciated The room was kept clean and items like shampoo soaps and lotion were good quality and topped up regularly The bed was fairy comfortable and the room was a good size for the two of us 
Commodore Hotel, It was 5 minutes walk to the tube The staff were very helpful We even got a free upgrade 
Commodore Hotel, Good location only a few minutes from the tube Nice room space and a balcony terrace for out particular room 
Commodore Hotel, Desk staff seemed pleasent location was good
Commodore Hotel, Reasonably convenient for Paddington station 
Commodore Hotel, Great find on booking com got it for 65 for the night Great location near to Hyde Park and close to tube stations Lovely high quality hotel and room 
Commodore Hotel, The bed was very comfortable and the breakfast was very nice 
Commodore Hotel, The room was clean and we were lc Ku to have a balconey
Commodore Hotel, Great hotel stopped here for the 2nd time and hosts upgraded our room to a suits type thank you Great location very clean and big rooms great deal for center of London Will definitely come back there Recommend to everyone 
Commodore Hotel, Quiet residential area yet still close to the tube stations Close to beautiful park Small and intimate hotel Suitable for a place to sleep as we were out all day 
Commodore Hotel, My complaint was dealt with very effectively Staff helpful and polite Location is excellent which is why we stay there and will continue to do so 
Commodore Hotel, The location only
Commodore Hotel, The location was ideal for Royal Albert hall and history museum It was also in a very quiet area from the main road Within walking distance to Paddington and tube links Hyde park a 2 minute walk It was a short stay so comfortable but would not be happy for a long holiday in the specific room we had 
Commodore Hotel, Quiet location within easy travel distance of everything 
Commodore Hotel, Helpful staff
Commodore Hotel, Excellent location Beautiful building We had an issue with our room however we were moved immediately to another one with an upgrade The staff was very friendly always This will be the place to stay whenever I travel to London 
Commodore Hotel, Location just 10 min walk to tube Princess Diana s home and park 5 mins walk across the road Staff very friendly and Helpful King size bed and large room very clean Breakfast and staff excellent Wifi available for free excellent food 
Commodore Hotel, The man taking care of the luggage made his everything to make this stay a positive experience Without his spirit of helping us this would have been an even greater disaster 
Commodore Hotel, Friendly staff very helpful and speak a number of languages Absolutely beautiful building in a great area minutes walk from the park 
Commodore Hotel, For the points highlighted above
Commodore Hotel, In view of some negative reviews we were dreading our visit to this hotel However we were delighted with the location which was perfect for our visit The room was clean and warm in what was very cold weather The staff was very helpful and polite 
Commodore Hotel, Good location for winter wonderland
Commodore Hotel, Excellent location and the staff was helpful with our queries
Commodore Hotel, The staffs are very kind This is one and only good point 
Commodore Hotel,No Positive
Commodore Hotel, Nothing 
Commodore Hotel, Great location lovely room fantastic staff couldn t of helped any more comfy beds spacious room
Commodore Hotel, Breakfast was good 
Commodore Hotel, Excellent location good value for money it is central London and for that reasonably priced 
Commodore Hotel,No Positive
Commodore Hotel, Very nice room and massive bed Close to tube station 
Commodore Hotel, The location of the hotel is good as it is close to tube stations Paddington railway station and Hyde Park 
Commodore Hotel, The location is great Opposite Hyde Park next to a tube station but far enough to be quiet 
Commodore Hotel, Location was very good good transport links and a very quiet area staff were very helpful and friendly 
Commodore Hotel, Location
Commodore Hotel, Bed was comfortable
Commodore Hotel, Nothing really It was all such a disappointment 
Commodore Hotel, Customer service was very good and they kindly upgraded us as the first room they gave us was not what was in the pictures However it is quite tired and the decor is quite old fashioned It probably needs a makeover To be fair to the staff though they were very helpful and friendly and on the whole we had a lovely stay The location was fab for Winter Wonderland and the price was good 
Commodore Hotel, The fact we had our own apartment
Commodore Hotel, Really liked the comfort and cleanliness overall 
Commodore Hotel, The location was great
Commodore Hotel, Location
Commodore Hotel, Everything The staff were very polite and helpful the room was amazing and the location was perfect for us 
Commodore Hotel, The location was fantastic as it was close to public transport 
Commodore Hotel, The location was fine and breakfast was good 
Commodore Hotel, The location was amazing you can walk two minutes to the tube station and a few minutes to lots of restaurants 
Commodore Hotel,No Positive
Commodore Hotel, location
Commodore Hotel, Great Location cordial staff 24 hr reception decently equipped room good breakfast 
Commodore Hotel, The staff were pleasant enough and the hotel was in a good location
Commodore Hotel, I love the location of the commodore and have always been a fan of the services provided 
Commodore Hotel, The staff were polite
Commodore Hotel, It s very close to the Hide Park and to the red line of tube you can get fast anywere Non noise around in the night 
Commodore Hotel, Location is excellent walking distance to Oxford St and main shopping districts Great value for money and the staff were one of the best I ve had on my many trips to London 
Commodore Hotel, Staff were great let us store out luggage as we arrived before check in time Rooms clean huge shower
Commodore Hotel, Everything was as it should be Swift check in polite and efficient staff Pleasant welcome 
Commodore Hotel, I liked the location and set up of the apartment it was well furnished and well presented 
Commodore Hotel, Good price for London accomodation Very grand in its day I m sure however now a little tired 
Commodore Hotel, Location
Commodore Hotel, Hotel in General was OK
Commodore Hotel, It was quiet 
Commodore Hotel, Fantastic location helpful and friendly staff beautiful room with balcony and lovely view of the church 
Commodore Hotel,No Positive
Commodore Hotel, Close to the park warm and couzy
Commodore Hotel, Location and the open all night and hot water
Commodore Hotel, Close to hyde park and train stations 
Commodore Hotel, Helpful friendly staff Nice breakfast Clean rooms
Commodore Hotel, Good location 
Commodore Hotel, Location Nothing more 
Commodore Hotel, The bed was comfortable The room service curry was excellent
Commodore Hotel, The suite was sumptuous the bed comfortable and the balcony a lovely private space to sit Nearby restaurants super 
Commodore Hotel, There was no where to eat or have a drink in hotel having arrived at hotel after 8 When leaving hotel I asked for mini can to airport I was shown a price list on the wall 55 pounds set price When we arrived at airport driver was looking for 15pounds more 
Commodore Hotel, Close access to underground
Commodore Hotel, Convenient location being only a 10 minute walk from Paddington Station being next to Hyde Park Also a very good choice of breakfast including full English
Commodore Hotel, Central Location Price Pleasant helpful staff free wi fi 
Commodore Hotel, The staff were friendly and accommodating when required 
Commodore Hotel, Good room plenty of space and storage The safe was useful 
Commodore Hotel, price location quite quiet street 
Commodore Hotel, Nothing
Commodore Hotel, Lobby and site location
Commodore Hotel,No Positive
Commodore Hotel, The General Manager s super efficient and understanding reply to my issue and experience He impressed me 100 Hotels all need GM s like him The hotel is going to undergo a complete room by room refurbishment and I will be back 
Commodore Hotel, The reception team was nice and helpfull The bed was comfortable and the toilet clean We have good free internet access all the time and not bad breakfast Also the second day they bougth gluten free bread for me 
Commodore Hotel, The location was great for where I needed to be Staff were good 
Commodore Hotel,No Positive
Commodore Hotel, Wonderful attitude of the staff reception restaurant management I am not giving names because I do not know all of then and I do not want to be unfair cleanliness delicious breakfast location and the list could go on and on 
Commodore Hotel, The staff were very helpful particularly the night staff who were happy to pander to our needs during the early hours Rooms had everything we needed including mini bar Would like to have had a dressing gown to throw on when going outside to smoke 
Commodore Hotel,No Positive
Commodore Hotel, The location although the tube station is one of least comfortable it is good Back after the hassle of centre London and the walk from station is of tranquillity One minute from beautiful Hyde Park Good selection of TV stations good sized bathroom and helpful staff 
Commodore Hotel, 15 min walk to Oxford Street London Marble Arch Very big terrace
Commodore Hotel, The location was fabulous 
Commodore Hotel, Address in Bayswater proximity to Hyde Park quiet and safe neighbourhood nice buildings judged from outer appearance in the street
Commodore Hotel, The location was ideal for our visit and the area was peaceful Breakfast was nice 
Commodore Hotel, The perfect location for central london next to Hyde Park and two minutes from the underground station 
Commodore Hotel, Room was lovely loved the four posterbedbed staff very very friendly 
Commodore Hotel, Nothing absolutely nothing 
Commodore Hotel, The staff were fantastic I think the property needs a bit of a refresh The carpets in the hall need replacing The bar fridge had no prices so weren t sure the price of anything Being close to Hyde Park was fantastic 
Commodore Hotel, Great location for central London Close to some good family restaurants Nice pleasant staff Nice size bed 
Commodore Hotel, Beds were satisfactory comply
Commodore Hotel, Location was fabulous near Lancaster Gate tube and Hyde Park 
Commodore Hotel, Two bed apart was big comfortable and quiet so it was excellent for 4 of us A 15 min walk to Paddington Station and some of our meetings Lots of shops and restaurants around as well 
Commodore Hotel, Excellent attitude of the team especially Shaune ready to address any request and providing solutions good breakfast good location good room Hotel is being upgraded 
Commodore Hotel, Cleanliness comfort bed close to Hyde Park 
Commodore Hotel, Good value for money good location very comfortable Friendly staff both at reception and breakfast Very relaxing area and atmosphere It made the time in London much easier with such a good place to go back to 
Commodore Hotel, Staff were friendly and helpful The apartment was spacious and the location was good 
Commodore Hotel, Great location and price relative to other London hotels Very large and comfortable bed 
Commodore Hotel, We booked 2 rooms as we were travelling as a family when i had to visit London to collect a work visa 5 adaults and one toddler When we arrive they had changed our booking to a 2 bed aparment which was great for us for breakfast etc with the young one Good location with shops restraunts and bars on the doorstep 
Commodore Hotel, Friendly and welcoming
Commodore Hotel, The towels and it was clean
Commodore Hotel,No Positive
Commodore Hotel,No Positive
Commodore Hotel, The location was OK
Commodore Hotel, Location stuff was friendly 
Commodore Hotel, The room was clean and very comfortable I had a great nights sleep I got a really quiet room too which was lovely Location is great just on the edge of Hyde Park and the staff were really friendly and helpful giving me some recommendations on local places to eat The room had some gorgeous antique furniture in it which was in keeping with the building and made a nice change to the usual modern rooms Very nice 
Commodore Hotel, The location is great and the staff are friendly and helpful 
Commodore Hotel, very close to all amenities and a good bus service to many parts of London Opposite Hyde Park allowing us to walk to many areas 
Commodore Hotel, Location
Commodore Hotel, Location ideal for underground station Breakfast excellent choice and staff 
Commodore Hotel, I liked that the staff were flexible and very pleasant they were very helpful and accommodating
Commodore Hotel, location
Commodore Hotel, The location is great and the staff are wonderful helpful and accommodating 
Commodore Hotel, Location
Commodore Hotel, The location is great for getting on the Tube and its close to Paddington Station 
Commodore Hotel, 1 Location 2 David the young man who was able to get the heat sorted 
Commodore Hotel, Good location Friendly staff Overall cleanliness was good 
Commodore Hotel, Good location quite neighborhood Apartment unit for family is not a bad choice 
Commodore Hotel, location is good access to subway rail and close to many tourist attractions
Commodore Hotel, Location and staff attitude
Commodore Hotel, We had seen all the negative reviews and were apprehensive walking in we were met by Vicency at the door who was over the top friendly and helpful we got there early and were shown our room in 30 minutes At first glance our room was wonderfully grand with a canopied bed and period furniture even had a balcony we wondered where the negative was coming from location was fantastic our room ceilings were 15 feet high 
Commodore Hotel, the only positive thing about this hotel is that is near the hyde park 
Commodore Hotel, Staff friendly and can t do enough for you Breakfast was lovely 
Commodore Hotel, Location 
Commodore Hotel,No Positive
Commodore Hotel, All of the reception staff were very accommodating and pleasant especially the young bellman from Brazil 
Commodore Hotel, Shawn the manager was very nice and tried to fix the problems 
Commodore Hotel, The location is OK
Commodore Hotel, The bellhops were very attentive helpful and nice 
Commodore Hotel, The location was ideal 
Commodore Hotel, Nice location
Commodore Hotel, The location only 
Commodore Hotel, The staff were pleasant and effective the room good and clean and quiet the breakfast was good and the price excellent value for money compared to other central London hotels 
Commodore Hotel, Great cheap last minute place to stay clean and comfortable and of a high standard for central London and for the price 
Commodore Hotel, Great location near Kings Cross station 
Commodore Hotel, Bed was comfy though did shake around a bit
Commodore Hotel, it was close to Hyde Park
Commodore Hotel, Location
Commodore Hotel, Location
Commodore Hotel, Got upgraded to a delux double room which was spacious only as they d not not got the booking com reservation 
Commodore Hotel, the presence of a gym
Commodore Hotel, Location is perfect close to Hyde Park and close to the Underground and a train station 
Commodore Hotel, The bed was huge and very comfortable It was a beautiful building right next to Hyde Park The staff were helpful and very friendly 
Commodore Hotel, The location
Commodore Hotel, Location Hotel entrance and quest areas looked lovely Staff very pleasant Upgraded to a room with a roof terrace Quiet 
Commodore Hotel, very close to Kensington garden and Lancaster gate underground stop many cafes around perfect location for me and my friend 
Commodore Hotel, Location excellent 2 minutes walk to Kensington Gardens Staff extremely helpful Hotel doesn t take your payment till you check in Our room 101 at end of corridor facing quiet enclosed square Good for what we paid but wouldn t pay more than 130 a night We liked our Mediterranean style open large shower some might not Just 15 minute walk to Notting Hill you can walk most of way through park Our room bedding were clean but carpet was a bit old Perfect for getting around Kensington tube and museums and also for Hyde Park 
Commodore Hotel, Location is great
Commodore Hotel, Good location as next to Hyde Kensington parks with a short walk from the underground and bus stops Easy access to the centre of London 
Commodore Hotel, comfortable bed clean toilette
Commodore Hotel, Good location near Hyde Park Tube Stations and restaurants 
Commodore Hotel, Location and I was upgraded to a double room from a single Warm greeting on arrival by the doorman and help with luggage 
Commodore Hotel, The breakfast was good but for 13 it should be Location is good 
Commodore Hotel, Location excellent Lovely and clean
Commodore Hotel,No Positive
Commodore Hotel, The bed was comfy
Commodore Hotel, The location is perfect opposite the park with Leicester Square easily accessible The price is good for the hotel it s a lovely part of London 
Commodore Hotel, Location
Commodore Hotel, Nothing
Commodore Hotel, Location
Commodore Hotel, The outside looks great the staff are very friendly 
Commodore Hotel, All staff but one lady at check in were exceptionally nice The location was excellent and the lobby very nice The staff with the exception of one could not have been more kind and helpful 
Commodore Hotel, girls at breakfast Time were very helpful 
Commodore Hotel,No Positive
Commodore Hotel, Nithibg Only the Porter Alex was the hardworker 
Commodore Hotel, The fitness centre although I didn t use it it looked fine 
Commodore Hotel, The location was excellent Hotel had been recommended and we were not disappointed at all everything we needed and we were upgraded thank you 
Commodore Hotel, Excellent location room 208 is beautiful bed linen and towels are quality staff member Radvile dealt with our concerns when we requested to move rooms 
Commodore Hotel, Location was great to Paddington station
Commodore Hotel, Main reception has a good atmosphere 
Commodore Hotel, The location is great and the staff were lovely 
Commodore Hotel, The location Bed linen and towels 
Commodore Hotel, Location Bellboy breakfast although spent 3 more per per person by booking via booking com
Commodore Hotel, We stayed in the roomy two bedroom apartment It was perfect for our family of five It was great to have two bedrooms plus a pull out two baths and a kitchen all newly renovated 
Commodore Hotel, receptionist helpful and apologetic when things went wrong excellent location
Commodore Hotel, Ideal location for hyde park and Oxford street
Commodore Hotel, Nothing
Commodore Hotel, Not alot
Commodore Hotel, Location and public transport convenience
Commodore Hotel, we liked the staff
Commodore Hotel,No Positive
Commodore Hotel, Location and relatively low price
Commodore Hotel, The bathroom was really nice However I did have to take the plug out with my doorkey 
Commodore Hotel, Surprisingly clean linen and fluffy towels and air conditioning in room 
Commodore Hotel, The beds were comfortable 
Commodore Hotel, Location
Commodore Hotel, Friendly helpful staff Cosy room and comfy beds
Commodore Hotel, Location 
Commodore Hotel, we booked the apartment and its big enough for four with good air conditional 
Commodore Hotel, Quiet comfortable hotel
Commodore Hotel, nice staff good level of room and quiet area
Commodore Hotel, Cmvery little
Commodore Hotel, Nothing 
Commodore Hotel,No Positive
Commodore Hotel, Location and privacy
Commodore Hotel, Very nice apartment
Commodore Hotel, Good location
Commodore Hotel, The location was great for Hyde park concerts
Commodore Hotel, very good location 
Commodore Hotel,No Positive
Commodore Hotel, Gym on site 
